"Acetone, ChemicalCompoundElement, "
"Adenosine Diphosphate Ribose, ChemicalCompoundElement, "
"Aluminium Chlorohydrate, ChemicalCompoundElement, "
"Aluminum Iodide, ChemicalCompoundElement, aluminium"
"Aminomethylpropanol, ChemicalCompoundElement, "
"Ammonia, ChemicalCompoundElement, "
"Atracurium Besylate, ChemicalCompoundElement, "
"Azathioprine, ChemicalCompoundElement, "
"Azulene, ChemicalCompoundElement, "
"Carbonic Acid, ChemicalCompoundElement, carbon"
"Cetyl Alcohol, ChemicalCompoundElement, "
"Chlorophyll F, ChemicalCompoundElement, "
"Coumarin, ChemicalCompoundElement, carbon"
"Cupric Phosphate, ChemicalCompoundElement, phosphate"
"Cyclopropane, ChemicalCompoundElement, carbon"
"Ecdysone, ChemicalCompoundElement, "
"Ethyl Acetoacetate, ChemicalCompoundElement, "
"Flavin Adenine Dinucleotide, ChemicalCompoundElement, "
"Glucagon, ChemicalCompoundElement, "
"Glutathione, ChemicalCompoundElement, "
"Gold Trichloride, ChemicalCompoundElement, gold"
"Heptadecane, ChemicalCompoundElement, "
"Heroin, ChemicalCompoundElement, "
"Hexadecane, ChemicalCompoundElement, "
"Hydrazine, ChemicalCompoundElement, "
"Hydroxocobalamin, ChemicalCompoundElement, "
"Hyponitrous Acid, ChemicalCompoundElement, "
"Icosane, ChemicalCompoundElement, carbon"
"Imatinib, ChemicalCompoundElement, "
"Lysergic Acid Diethylamide, ChemicalCompoundElement, "
"Maleic Acid, ChemicalCompoundElement, "
"Mercuric Fluoride, ChemicalCompoundElement, "
"Mercurous Fluoride, ChemicalCompoundElement, "
"Metformin, ChemicalCompoundElement, "
"Methacrylic Acid, ChemicalCompoundElement, "
"Motilin, ChemicalCompoundElement, "
"Mustard Gas, ChemicalCompoundElement, "
"Nonadecane, ChemicalCompoundElement, "
"Pethidine, ChemicalCompoundElement, "
"Rubidium Hydroxide, ChemicalCompoundElement, "
"Sodium Hydroxide, ChemicalCompoundElement, "
"Sodium Tripolyphosphate, ChemicalCompoundElement, "
"Sulfuric Acid, ChemicalCompoundElement, sulfur"
"TNT, ChemicalCompoundElement, TNT"
"Tabun, ChemicalCompoundElement, "
"Tenoxicam, ChemicalCompoundElement, "
"Triethylamine, ChemicalCompoundElement, "
"Triphenylphosphine, ChemicalCompoundElement, "
"Vinylidene Fluoride, ChemicalCompoundElement, "
"Zeaxanthin, ChemicalCompoundElement, "
"Abadal, CompanyParentOrganization, "
"Aixam, CompanyParentOrganization, "
"Alex von Falkenhausen Motorenbau, CompanyParentOrganization, "
"Alvis Car and Engineering Company Ltd, CompanyParentOrganization, "
"Amphicar, CompanyParentOrganization, "
"Artés de Arcos, CompanyParentOrganization, "
"Aston Martin lagonda, CompanyParentOrganization, "
"Austro-Daimler, CompanyParentOrganization, "
"Automobilwerk Eisenach, CompanyParentOrganization, "
"Bell, CompanyParentOrganization, "
"Bertone, CompanyParentOrganization, "
"Cadillac, CompanyParentOrganization, "
"Central Motors, CompanyParentOrganization, "
"Changan Automobile, CompanyParentOrganization, "
"Delage, CompanyParentOrganization, "
"Duesenberg, CompanyParentOrganization, "
"Fábrica Nacional de Motores, CompanyParentOrganization, "
"Gaz, CompanyParentOrganization, "
"Gucci, CompanyParentOrganization, "
"Guerry et Bourguignon, CompanyParentOrganization, "
"Hanomag, CompanyParentOrganization, "
